code;group;age;sex;occup;occupdesc;sight;color;dioptre;sightprobs;comments;email;points;durations;sessions
EO2812;forcedguess;24;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'Die Anweisungen k\xf6nnten genauer sein, da daraus nicht exakt hervorgeht, ob sich die Abfrage nur auf die letzte Lernphase oder alle vergangenen Lernphasen bezieht.\n\nAnsonsten, alles ok. Viel Erfolg! :)', u'')";;1773;(3015, 1486);2
ES1008;forcedguess;19;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1179;(3315, 1580);2
HE1403;normal;31;f;student;Psychologie;corrected;n;(None,);(None,);"(u'',)";anonymous;2386;(3254,);1
HG0705;forcedguess;31;f;student;psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";;1670;(2600, 1319);2
HH0305;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'Ich hatte manchmal das Gef\xfchl, Dinge vorher gar nicht gesehen zu haben. Mir kamen somit manche Bilder total unbekannt vor\nAu\xdferdem hatte ich das gef\xfchl, dass manche Bilder aus der ersten Lernphase in der zweiten Lernphase auch gezeigt wurden')";anonymous;1430;(3240, 1547);2
HH1709;normal;20;m;student;PSYCHOLOGIE;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;2884;(3164, 1956);2
ID1001;normal;24;m;student;Psychologie;corrected;n;(None, None);(None, None);"(u'Vor allem bei den Rechenaufgaben w\xe4re es ganz nett, eine Fortschrittsanzeige zu haben (z.B. "Aufgabe 3 von 100"), wird sonst etwas monoton', u'')";anonymous;1938;(2436, 1360);2
ID1502;normal;28;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;2401;(2746, 1477);2
II1404;normal;20;f;student;psychologie;normal;n;(None,);(None,);"(u'',)";anonymous;1543;(2772,);1
IJ0809;forcedguess;19;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1290;(2991, 1509);2
IM1802;forcedguess;19;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1495;(2492, 1260);2
IN2903;forcedguess;21;f;student;psychologie;corrected;n;(None, None);(None, None);"(u'sollte m\xf6glicherweise \xfcberpr\xfcft werden, ob man sich an w\xf6rter, die mit einer berufsgruppe wie zum beispiel arzt in verbindung stehen, besser erinnert oder vielleicht auch nur denkt, sich besser zu erinnern, obwohl die w\xf6rter gar nicht genannt wurden?! \nund es wurde vermutlich auch noch \xfcberpr\xfcft, wie stark die h\xf6here punktzahl im zweiten teil also 1 5 und 9 punkte vielleicht beeinflussend wirkt, dass man vielleicht eher risikofreudiger oder eben scheuer ist.\nim gro\xdfem und ganzen wei\xdf ich aber nix...;-)', u'm\xf6glicherweise sollte getestet werden, ob man sich selbst bei bildern, die man vorher noch nciht gesehen hat, trotzdem sicher bez\xfcglich des schon-gesehenhabens f\xfchlt und viele punkte angibt. obwohl man ja eigentlich das bild noch nicht gesehen hat, weil eventuell sogar beide gegen\xfcbergestellten bilder noch nicht vorher gezeigt wurden!\n\nbei der vp-nummer-benennung w\xe4re es besser nicht tag des monats zu schreiben, das verwirrt erstmal...')";anonymous;1900;(3016, 1601);2
IR1209;normal;21;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'trage eine Brille')";anonymous;1740;(2602, 1445);2
IS0606;forcedguess;22;m;student;Psychologie (B.Sc.);corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1599;(2871, 1406);2
IS1510;normal;19;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1456;(2443, 1342);2
IX0302;forcedguess;20;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1603;(2645, 1454);2
LA0901;normal;23;f;student;psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1545;(2673, 1352);2
LD0201;forcedguess;18;f;student;Psychologie BSc;uncorrected;n;(u'-1', u'-1');(1, 0);"(u'', u'')";anonymous;2041;(2781, 1460);2
LG2506;normal;24;m;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1899;(2773, 1461);2
LN0707;forcedguess;21;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1607;(3104, 1567);2
LN2804;normal;22;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;2530;(2819, 1472);2
LS0604;forcedguess;18;m;pupil;no description;normal;n;(None, None);(None, None);"(u'Aufgefallen sind mir sich wiederholende Themengebiete der W\xf6rter \xfcber alle Durchl\xe4ufe. Dies machte die korrekte Beantwortung nat\xfcrlich schwehrer.\nAufgefallen ist mir auch dass ich bei unsierheit teilweise innerhalb des selben Durchlaufs widerspr\xfcchlich geantwortet habe, mir die richtige Seite also nochmal um\xfcberlegt habe,weil ich einen begriff doch ausschlie\xdfen konnte.\n\nViel Spass bei der Auswertung Jan ;)', u'F\xfchlte mich bei den Bildern im vergleich zu den Begriffen sicherer, und glaube dass ich, wenn ich mir unsicher war verh\xe4ltnissm\xe4\xdfig mehr "rechts" anwortete.')";anonymous;1136;(3159, 1812);2
LT1104;normal;20;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'/', u'')";anonymous;1627;(2763, 1608);2
NH0712;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";;1932;(3051, 1431);2
NL0610;normal;19;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'Ich hatte das Gef\xfchl bei dem zweiten Durchgang mich viel besser an die jeweiligen Bilder erinnern zu k\xf6nnen. ')";anonymous;1621;(2663, 1528);2
NO0809;forcedguess;22;m;student;Psychologie, Philosophie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1218;(3042, 1801);2
NS0605;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1048;(2528, 1281);2
ON2908;normal;20;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;2941;(2720, 1508);2
OT2710;forcedguess;19;f;student;psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1518;(2395, 1228);2
RG2807;forcedguess;20;f;student;Psychologie;uncorrected;n;(u'-1,5', u'-1,5');(0, 0);"(u'Die Fehlermeldung bei falsch gerechneten Aufgaben lie\xdf sich nur schwer wegklicken bzw. es dauerte lange um weiter rechnen zu k\xf6nnen', u'')";anonymous;1990;(2950, 1527);2
RI3110;normal;21;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;2013;(2830, 1585);2
RN0609;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1266;(2787, 1461);2
RR0901;forcedguess;22;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1553;(2732, 1354);2
SO2308;normal;20;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;2246;(2851, 1607);2
UR1406;normal;20;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;2018;(3188, 1716);2
UZ2903;normal;24;f;student;Psychologie;corrected;n;(None,);(None,);"(u'',)";anonymous;1934;(2792,);1
VR2204;normal;26;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1652;(2810, 2245);1
